DCID,Permit Number,Program Name,Facility Type,Program Type,Street Address,Borough,Zip Code,Phone Number,Child Age Range,Children Allowed in Care,Administer Medication,BIN,BBL,Community Board,Council District,Census Tract,NTA Code,Latitude,Longitude
DC43914,106568.0,"B'ABOVE WORLDWIDE INSTITUTE, INC.",GCC,PRESCHOOL,1436 67 STREET,BROOKLYN,11219,(718) 551-1227,2 YEARS - 5 YEARS,90,No,3142954.0,3057690023.0,311.0,43.0,19000.0,BK28,40.622935317864,-73.999643374392
DC390,5692.0,"ZION DAY CARE CENTER, INC",GCC,PRESCHOOL,5000 14TH AVENUE,BROOKLYN,11219,(718) 438-2862,2 YEARS - 5 YEARS,87,No,3138079.0,3056490038.0,312.0,44.0,23600.0,BK88,40.633049458811,-73.990593018879
DC36669,104607.0,BRIGHT HORIZONS AT EAST 46TH STREET,GCC,PRESCHOOL,127 EAST 46TH STREET,MANHATTAN,10017,(646) 348-9011,2 YEARS - 5 YEARS,59,No,1036206.0,1013010023.0,106.0,4.0,9200.0,MN19,40.753893723083,-73.973943827333
DC15558,7793.0,"YELED V' YALDA EARLY CHILDHOOD CENTER, INC.",GCC,PRESCHOOL,1257-1263 38TH STREET,BROOKLYN,11218,(718) 514-8602,2 YEARS - 5 YEARS,264,No,3394062.0,3052950047.0,312.0,39.0,22600.0,BK88,40.64178571353,-73.986693011387
DC416,1567.0,"EDITH & CARL MARKS JEWISH COMMUNITY HOUSE OF BENSONHURST, INC",GCC,PRESCHOOL,7802 BAY PARKWAY,BROOKLYN,11214,(718) 943-6333,2 YEARS - 5 YEARS,58,No,3162352.0,3062640030.0,311.0,43.0,27000.0,BK28,40.606361800172,-73.989235471665
DC40905,106115.0,BRIGHT AND BUSY DAYCARE INC.,GCC,PRESCHOOL,33-02 30 AVENUE,QUEENS,11103,(929) 510-8729,2 YEARS - 5 YEARS,20,No,4009030.0,4006250042.0,401.0,22.0,6300.0,QN70,40.766077244091,-73.919654696612
DC1623,6464.0,BRONX RIVER EARLY LEARN CENTER,GCC,PRESCHOOL,1555 EAST 174 STREET,BRONX,10472,(718) 842-6582,2 YEARS - 5 YEARS,54,No,2092903.0,2038860002.0,209.0,17.0,6200.0,BX08,40.834286900541,-73.878848449276
DC44055,106605.0,PARK SLOPE LITTLE LEARNERS INC.,GCC,PRESCHOOL,463 6 AVENUE,BROOKLYN,11215,(347) 422-0214,2 YEARS - 5 YEARS,22,No,3022671.0,3010180006.0,306.0,39.0,15100.0,BK37,40.667287190395,-73.984543117499
DC42550,106130.0,Kuei Luck Early Childhood Center LLC,GCC,PRESCHOOL,132 W 112TH ST,MANHATTAN,10026,(212) 931-9029,2 YEARS - 5 YEARS,49,No,1087384.0,1018210055.0,110.0,9.0,21600.0,MN11,40.8001554817,-73.953240261076
DC14480,6575.0,BIG BIRDS PLAYHOUSE CORP.,GCC,PRESCHOOL,1859 RICHMOND AVENUE,STATEN ISLAND,10314,(718) 982-0550,2 YEARS - 5 YEARS,64,No,5034924.0,5020300047.0,502.0,50.0,27301.0,SI05,40.602661456556,-74.163086769773
DC25327,51197.0,"BRIGHT HORIZONS CHILDREN'S CENTERS, LLC",GCC,INFANT TODDLER,409 EAST 60TH STREET,MANHATTAN,10022,(212) 750-4534,0 YEARS - 2 YEARS,36,Yes,1045274.0,1014550008.0,108.0,5.0,10602.0,MN31,40.759994383258,-73.960953658462
DC43772,106667.0,THE LEARNING EXPERIENCE,GCC,INFANT TODDLER,8902 5 AVENUE,BROOKLYN,11209,(718) 921-8750,0 YEARS - 2 YEARS,16,No,3154221.0,3060660026.0,310.0,47.0,16000.0,BK31,40.619651925758,-74.027804618024
DC42511,106120.0,"KINDER VINKEL, INC.",GCC,PRESCHOOL,1462 62 STREET,BROOKLYN,11219,(718) 436-2245,2 YEARS - 5 YEARS,51,No,3141674.0,3057340045.0,311.0,43.0,25000.0,BK28,40.625540054642,-73.9961814348
DC39267,105291.0,THE LEARNING EXPERIENCE,GCC,INFANT TODDLER,814 AMSTERDAM AVENUE,MANHATTAN,10025,(212) 316-0890,0 YEARS - 2 YEARS,18,Yes,1056462.0,1018717503.0,107.0,7.0,18700.0,MN12,40.796441583372,-73.968632351453
DC42514,106535.0,LITTLE ME DAYCARE CENTER,GCC,INFANT TODDLER,1537 DEAN STREET,BROOKLYN,11213,(718) 925-2752,0 YEARS - 2 YEARS,20,No,3429138.0,3013407504.0,308.0,36.0,31100.0,BK61,40.676177730346,-73.937021353415
DC14357,1997.0,LEGGETT MEMORIAL EARLY CHILDHOOD CENTER,GCC,PRESCHOOL,237 EAST 104 STREET,MANHATTAN,10029,(212) 828-6051,2 YEARS - 5 YEARS,74,No,1080671.0,1016540011.0,111.0,8.0,17000.0,MN33,40.789680255279,-73.944266253327
DC25044,94577.0,KENNEDY CHILDREN'S CENTER,GCC,PRESCHOOL,2212 THIRD AVENUE,MANHATTAN,10035,(212) 988-9500,2 YEARS - 5 YEARS,177,Yes,1087272.0,1017697501.0,111.0,8.0,19600.0,MN34,40.800823432082,-73.937925150831
DC18839,8068.0,"POLICE ATHLETIC LEAGUE, INC.",GCC,PRESCHOOL,454 PENNSYLVANIA AVE,BROOKLYN,11207,(718) 342-4724,2 YEARS - 5 YEARS,114,Yes,3084629.0,3038050029.0,305.0,42.0,112600.0,BK85,40.666020879218,-73.894381158803
DC43487,106703.0,WEEHIVE DAYCARE INC.,GCC,INFANT TODDLER,1267 57 STREET,BROOKLYN,11219,(347) 563-0695,0 YEARS - 2 YEARS,27,No,3140077.0,3056907503.0,312.0,44.0,21600.0,BK88,40.631048873374,-73.997604192193
DC43139,106527.0,ROCKEFELLER CHILD AND FAMILY CENTER,GCC,INFANT TODDLER,1194 YORK AVENUE,MANHATTAN,10065,(212) 327-7071,0 YEARS - 2 YEARS,44,No,1087131.0,1014800010.0,108.0,5.0,11600.0,MN31,40.761914424825,-73.957331874288
DC20249,27077.0,BUMBLEBEES-R-US DAY CARE CENTER,GCC,PRESCHOOL,2813 FARRAGUT ROAD,BROOKLYN,11210,(718) 434-2337,2 YEARS - 5 YEARS,173,No,3120967.0,3052300003.0,314.0,45.0,78800.0,BK42,40.636167853943,-73.94970217396
DC43137,106528.0,ROCKEFELLER CHILD AND FAMILY CENTER,GCC,PRESCHOOL,1226 YORK AVENUE,MANHATTAN,10065,(212) 327-7071,2 YEARS - 5 YEARS,86,No,1089035.0,1014800010.0,108.0,5.0,11600.0,MN31,40.762866595925,-73.956638165646
DC26079,86518.0,Sunshine LC of Lexington LLC,GCC,PRESCHOOL,1595 LEXINGTON  AVENUE,MANHATTAN,10029,(212) 444-2026,2 YEARS - 5 YEARS,72,No,1085680.0,1016297502.0,111.0,8.0,16600.0,MN33,40.78928420739,-73.948419598114
DC42964,106485.0,COLIN-NEWELL EARLY CHILDHOOD DEVELOPMENT CENTER,GCC,PRESCHOOL,107-65 MERRICK BOULEVARD,QUEENS,11433,(718) 523-1888,2 YEARS - 5 YEARS,59,No,4617729.0,4102440211.0,412.0,27.0,41400.0,QN01,40.698746460296,-73.787320098351
DC422,5362.0,"BRYAN'S EDUCATIONAL CENTER, INC.",GCC,PRESCHOOL,3924 CHURCH AVENUE,BROOKLYN,11203,(718) 282-6944,2 YEARS - 5 YEARS,53,No,3109655.0,3048930011.0,317.0,40.0,85800.0,BK91,40.651229633585,-73.940659619267
DC43947,106544.0,"UNITED LUBAVITCHER YESHIVOTH, INC.",GCC,INFANT TODDLER,570 CROWN STREET,BROOKLYN,11213,(347) 996-1090,0 YEARS - 2 YEARS,64,No,3393264.0,3014170007.0,309.0,35.0,33300.0,BK63,40.665644470424,-73.939237349258
DC19662,8017.0,TRADITIONAL EDUCATIONAL CENTER,GCC,PRESCHOOL,1469 BROADWAY,BROOKLYN,11221,(718) 443-2577,2 YEARS - 5 YEARS,102,No,3393150.0,3033730007.0,304.0,37.0,39700.0,BK78,40.687548739608,-73.918635496017
DC1348,4564.0,YMCA OF GREATER NY,GCC,PRESCHOOL,69-02 64 STREET,QUEENS,11385,(212) 912-2180,2 YEARS - 5 YEARS,91,No,4088138.0,4036310006.0,405.0,30.0,58100.0,QN20,40.704090388238,-73.893797641475
DC1184,7512.0,SUTTON PLACE SYNAGOGUE,GCC,PRESCHOOL,225 EAST 51 STREET,MANHATTAN,10022,(212) 826-6204,2 YEARS - 5 YEARS,62,No,1038467.0,1013250015.0,106.0,4.0,9800.0,MN19,40.756148843474,-73.969586262143
DC44396,106738.0,"German School Manhattan, LLC",GCC,PRESCHOOL,85 WARREN STREET,MANHATTAN,10007,(212) 274-9636,2 YEARS - 5 YEARS,38,No,1081076.0,1001327501.0,101.0,1.0,2100.0,MN24,40.715324022887,-74.0105477199
DC44090,106739.0,"RABBI SOLOMON KLUGER SCHOOL, Inc.",GCC,PRESCHOOL,1705 49 STREET,BROOKLYN,11204,(718) 236-1171,2 YEARS - 5 YEARS,20,No,3129034.0,3054490001.0,312.0,44.0,47400.0,BK88,40.62946662768,-73.982905507425
DC41505,106082.0,BNEI YOSEL,GCC,PRESCHOOL,4301 10 AVENUE,BROOKLYN,11219,(347) 997-6464,2 YEARS - 5 YEARS,31,No,3136061.0,3056020009.0,312.0,38.0,11200.0,BK34,40.642280451005,-73.995308467893
DC3043,7645.0,St. Nicholas Greek Orthodox Church of Flushing,GCC,PRESCHOOL,43-09 196 STREET,QUEENS,11358,(718) 357-0800,2 YEARS - 5 YEARS,59,No,4124560.0,4055200001.0,411.0,19.0,145101.0,QN48,40.757690070953,-73.785625964057
DC40368,105453.0,Community Life Center Inc.,GCC,PRESCHOOL,260 WEST 153RD STREET,MANHATTAN,10039,(212) 427-3000,2 YEARS - 5 YEARS,40,No,1089911.0,1020387501.0,110.0,9.0,23600.0,MN03,40.827403134181,-73.937177580452
DC44500,,YESHIVAT LEV TORAH,SBCC,PRESCHOOL,1317 AVENUE T,BROOKLYN,11229,(718) 743-5511,3 YEARS - 5 YEARS,NO DATA,No,3336568.0,3072920043.0,315.0,48.0,55600.0,BK25,40.600911849904,-73.958436263034
DC43160,106504.0,"MAGIC MOMENTS BROOKLYN, LLC",GCC,INFANT TODDLER,1526 FULTON STREET,BROOKLYN,11216,(347) 464-5544,0 YEARS - 2 YEARS,46,No,3425135.0,3018640014.0,303.0,36.0,27100.0,BK61,40.679843487232,-73.939775982908
DC33082,102097.0,BRIGHT HORIZONS CHILDREN'S CENTERS LLC,GCC,PRESCHOOL,258 WEST 26TH STREET,MANHATTAN,10001,(212) 366-4365,2 YEARS - 5 YEARS,57,No,1088709.0,1007757502.0,104.0,3.0,9100.0,MN13,40.746735531505,-73.9960228834
DC38949,106522.0,"UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK,",GCC,INFANT TODDLER,565 LIVONIA AVENUE,BROOKLYN,11207,(718) 346-3470,0 YEARS - 2 YEARS,20,No,3084621.0,3038030046.0,305.0,42.0,113000.0,BK85,40.664408748036,-73.896351794597
DC23106,41797.0,"BROOKLYN CHINESE-AMERICAN ASSOCIATION, INC.",GCC,PRESCHOOL,871 50TH STREET,BROOKLYN,11220,(347) 789-6939,2 YEARS - 5 YEARS,91,No,3397381.0,3056377502.0,312.0,43.0,10800.0,BK34,40.640249386258,-74.002270026816
DC43781,106736.0,THE LEARNING EXPERIENCE,GCC,PRESCHOOL,8902 5 AVENUE,BROOKLYN,11209,(718) 921-8750,2 YEARS - 5 YEARS,63,No,3154221.0,3060660026.0,310.0,47.0,16000.0,BK31,40.619651925758,-74.027804618024
DC1652,4434.0,THE FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTER,GCC,INFANT TODDLER,671 PROSPECT PLACE,BROOKLYN,11216,(718) 638-8686,0 YEARS - 2 YEARS,38,No,3030896.0,3012240045.0,308.0,35.0,22100.0,BK61,40.674687391167,-73.954593953462
DC182,2094.0,EAST SIDE HOUSE SETTLEMENT,GCC,PRESCHOOL,375 EAST 143RD STREET,BRONX,10454,(718) 292-5335,2 YEARS - 5 YEARS,80,No,2091101.0,2023060009.0,201.0,8.0,4100.0,BX39,40.812695472245,-73.92162125205
DC2220,7087.0,"IMAGINE EARLY LEARNING CENTERS, LLC",GCC,PRESCHOOL,60-62 EAST 97 STREET,MANHATTAN,10029,(212) 410-2077,2 YEARS - 5 YEARS,56,Yes,1051451.0,1016020044.0,111.0,8.0,16002.0,MN33,40.787559679159,-73.952888019361
DC37730,,Bet Yaakov Ohr Sarah,SBCC,PRESCHOOL,2209 AVENUE R,BROOKLYN,11229,(646) 250-9953,3 YEARS - 5 YEARS,NO DATA,No,3329271.0,3068050050.0,315.0,48.0,55000.0,BK44,40.606587689596,-73.950574474348
DC44642,106714.0,LITTLE ROSES DC LLC,GCC,PRESCHOOL,948 MCDONALD AVENUE,BROOKLYN,11218,(347) 520-7108,2 YEARS - 5 YEARS,12,No,3337668.0,3054070082.0,312.0,44.0,47800.0,BK88,40.631170155467,-73.977255996316
DC44294,,BRONX ARTS AND SCIENCE CHARTER SCHOOL,SBCC,PRESCHOOL,955 HUTCHINSON RIVER PARKWAY,BRONX,10465,(718) 540-6959,3 YEARS - 5 YEARS,NO DATA,No,2126086.0,2055420001.0,210.0,13.0,9000.0,BX09,40.826129605783,-73.836778947283
DC44590,106723.0,TICKLE TOES DAY CARE LLC,GCC,INFANT TODDLER,450 KENT AVENUE,BROOKLYN,11249,(347) 907-2935,0 YEARS - 2 YEARS,30,No,3387990.0,3021347502.0,301.0,33.0,54700.0,BK73,40.708826049734,-73.968471751283
DC44370,106579.0,LITTLE STARS CHILDCARE PROGRAM VII LLC,GCC,INFANT TODDLER,4180 CARPENTER AVENUE,BRONX,10466,(917) 736-6737,0 YEARS - 2 YEARS,34,No,2000000.0,2048350045.0,212.0,11.0,42000.0,BX44,40.89380210383,-73.860527872009
DC38226,105029.0,BRIGHT HORIZONS AT WEST 14TH,GCC,INFANT TODDLER,255 WEST 14 STREET,MANHATTAN,10011,(332) 255-8503,0 YEARS - 2 YEARS,44,Yes,1013712.0,1007640007.0,104.0,3.0,8100.0,MN13,40.739195731545,-74.001198051465
DC44584,106724.0,TICKLE TOES DAY CARE LLC,GCC,PRESCHOOL,450 KENT AVENUE,BROOKLYN,11249,(347) 907-2935,2 YEARS - 5 YEARS,47,No,3387990.0,3021347502.0,301.0,33.0,54700.0,BK73,40.708826049734,-73.968471751283
DC14111,7400.0,EAST SIDE HOUSE SETTLEMENT,GCC,PRESCHOOL,414 MORRIS AVENUE,BRONX,10451,(718) 401-4242,2 YEARS - 5 YEARS,40,No,2097853.0,2023240001.0,201.0,8.0,5100.0,BX39,40.815521362643,-73.923922842219
DC36747,104640.0,wBEES FOREST HOUSE INC.,GCC,PRESCHOOL,20 ST. JOHN'S  ROAD,QUEENS,11385,(929) 457-6717,2 YEARS - 5 YEARS,39,No,4080903.0,4033910026.0,405.0,30.0,58900.0,QN20,40.706772833307,-73.907387490493
DC41726,106256.0,HAPPY MARYANN,GCC,PRESCHOOL,71-66 PARSONS BOULEVARD,QUEENS,11365,(718) 683-5476,2 YEARS - 5 YEARS,39,No,4618096.0,4067937501.0,408.0,24.0,122702.0,QN38,40.728508613953,-73.81114950846
DC2259,4204.0,THE LEARNING TREE,GCC,PRESCHOOL,74-15 JUNIPER BOULEVARD NORTH,QUEENS,11379,(718) 899-2020,2 YEARS - 5 YEARS,75,No,4067020.0,4029300012.0,405.0,30.0,66501.0,QN21,40.721230744971,-73.884513082036
DC1942,2085.0,EAST SIDE HOUSE SETTLEMENT,GCC,PRESCHOOL,200 ALEXANDER AVENUE,BRONX,10454,(718) 292-5335,2 YEARS - 5 YEARS,45,No,2091097.0,2022980040.0,201.0,8.0,2300.0,BX39,40.808745994158,-73.926079979867
DC42079,106557.0,EAST SIDE HOUSE SETTLEMENT,GCC,INFANT TODDLER,705 CONCOURSE VILLAGE WEST,BRONX,10451,(718) 292-5335,0 YEARS - 2 YEARS,8,No,2128884.0,2024587501.0,204.0,16.0,5902.0,BX14,40.821864592259,-73.924114282331
DC43413,106709.0,LITTLE SCHOLARS LEARNING CENTER VII,GCC,PRESCHOOL,600 6 AVENUE,MANHATTAN,10011,(212) 255-6911,2 YEARS - 5 YEARS,12,No,1015407.0,1008197502.0,105.0,3.0,5400.0,MN13,40.739511287295,-73.995251074624
DC39266,105294.0,THE LEARNING EXPERIENCE,GCC,PRESCHOOL,814 AMSTERDAM AVENUE,MANHATTAN,10025,(212) 316-0928,2 YEARS - 5 YEARS,128,No,1056462.0,1018717503.0,107.0,7.0,18700.0,MN12,40.796441583372,-73.968632351453
DC44077,106571.0,LIL TOTS EARLY CHILDHOOD CENTER LLC,GCC,PRESCHOOL,1759 BAY RIDGE PARKWAY,BROOKLYN,11204,(718) 709-9594,2 YEARS - 5 YEARS,106,No,3159647.0,3062157501.0,311.0,43.0,26400.0,BK28,40.613951596724,-73.996909662281
DC2564,,PARK EAST PRESCHOOL,SBCC,PRESCHOOL,164 EAST 68 STREET,MANHATTAN,10065,(212) 737-6900,3 YEARS - 5 YEARS,124,No,1042477.0,1014020042.0,108.0,4.0,12000.0,MN40,40.767405917845,-73.963032337705
DC39345,105471.0,The Reggio Emilia Montessori Center,GCC,PRESCHOOL,1331 FLATBUSH AVENUE,BROOKLYN,11226,(347) 240-2648,2 YEARS - 5 YEARS,20,No,3120356.0,3052110060.0,317.0,45.0,79000.0,BK95,40.638650866555,-73.953807864577
DC43192,106712.0,BUILDING BRILLIANCE DAY CARE II INC.,GCC,INFANT TODDLER,1-14 56 AVENUE,QUEENS,11101,(718) 750-1001,0 YEARS - 2 YEARS,10,No,4619856.0,4000067503.0,402.0,26.0,100.0,QN31,40.739600814118,-73.96097287317
DC34184,103794.0,BASIC TRUST,GCC,PRESCHOOL,127 WEST  94  STREET,MANHATTAN,10025,(212) 222-6602,2 YEARS - 5 YEARS,15,No,1032559.0,1012250021.0,107.0,7.0,18100.0,MN12,40.792017294101,-73.969551755691
DC14287,7157.0,CATHEDRAL CHURCH OF ST. JOHN THE DIVINE IN THE CITY AND DIOCESES OF NEW YORK,GCC,PRESCHOOL,1047 AMSTERDAM AVENUE,MANHATTAN,10025,(212) 316-7530,2 YEARS - 5 YEARS,27,No,1082706.0,1018650001.0,109.0,7.0,19701.0,MN09,40.804026414418,-73.963073326975
DC37363,105134.0,AMAZING KIDS LEARNING CENTER,GCC,PRESCHOOL,2331 EASTCHESTER ROAD,BRONX,10469,(718) 654-5437,2 YEARS - 5 YEARS,91,No,2050818.0,2043920040.0,211.0,13.0,31400.0,BX31,40.860002990538,-73.843083508048
DC2039,4639.0,COMMUNITY PARENTS HEAD START,GCC,PRESCHOOL,90 CHAUNCEY STREET,BROOKLYN,11233,(718) 771-4002,2 YEARS - 5 YEARS,40,No,3325183.0,3016910012.0,303.0,36.0,29700.0,BK61,40.680271879258,-73.930444847891
DC41888,105920.0,BARBEY PREP INC.,GCC,PRESCHOOL,683 BARBEY ST,BROOKLYN,11207,(347) 392-3232,2 YEARS - 5 YEARS,51,No,3398467.0,3040917501.0,305.0,42.0,112400.0,BK82,40.665584336845,-73.885673153878
DC2035,5349.0,"NEW LIFE DAY CARE CENTER, INC.",GCC,PRESCHOOL,406-408 GROVE STREET,BROOKLYN,11237,(718) 417-4214,2 YEARS - 5 YEARS,105,No,3397530.0,3033290016.0,304.0,37.0,44100.0,BK77,40.701180558966,-73.912895239822
DC2213,105288.0,IMAGINE EARLY LEARNING CENTER LLC,GCC,INFANT TODDLER,26 FEDERAL PLAZA,MANHATTAN,10007,(212) 264-4277,0 YEARS - 2 YEARS,34,No,1001674.0,1001560050.0,101.0,1.0,3100.0,MN24,40.716007857186,-74.004743636969
DC20001,8023.0,"URBAN STRATEGIES, INC.",GCC,PRESCHOOL,675 LINCOLN AVENUE,BROOKLYN,11208,(718) 235-1215,2 YEARS - 5 YEARS,40,No,3095889.0,3042710005.0,305.0,42.0,120800.0,BK82,40.672667021292,-73.86643561352
DC981,4780.0,LA PENINSULA  COMMUNITY  ORGANIZATION  HEAD START PROGRAM 2,GCC,PRESCHOOL,1054 INTERVALE AVENUE,BRONX,10459,(718) 893-5074,2 YEARS - 5 YEARS,38,No,2005481.0,2027050009.0,202.0,17.0,13100.0,BX33,40.824815891086,-73.896838079211
DC414,4264.0,"Saint Peter’s Evangelical Lutheran Church, in the Borough of Brooklyn, City of New York",GCC,PRESCHOOL,105-109 HIGHLAND PLACE,BROOKLYN,11208,(718) 647-1014,2 YEARS - 5 YEARS,93,No,3398192.0,3039300016.0,305.0,37.0,117400.0,BK83,40.682658093863,-73.881482998432
DC21684,8352.0,"AFRO-AMERICAN PARENTS EDUCATIONAL CENTER, INC.",GCC,PRESCHOOL,108-17 159TH STREET,QUEENS,11433,(718) 526-3068,2 YEARS - 5 YEARS,52,No,4457481.0,4101480001.0,412.0,28.0,25400.0,QN01,40.695006134255,-73.793772745663
DC43845,106616.0,PLAYTO PACIFIC LLC,GCC,PRESCHOOL,979 PACIFIC STREET,BROOKLYN,11238,(929) 271-3068,2 YEARS - 5 YEARS,12,No,3418381.0,3011257501.0,308.0,35.0,30500.0,BK61,40.679594716621,-73.961152339316
DC43897,106615.0,GREENPOINT CHILDCARE LLC,GCC,PRESCHOOL,145 WEST STREET,BROOKLYN,11222,(718) 684-9139,2 YEARS - 5 YEARS,10,No,,3.0,301.0,33.0,56300.0,BK76,40.732050216785,-73.961713385404
DC37937,105041.0,BUNNYHILL BABIES LLC,GCC,INFANT TODDLER,46-04 VERNON BOULEVARD,QUEENS,11101,(718) 361-8326,0 YEARS - 2 YEARS,50,No,4618965.0,4000270046.0,402.0,26.0,700.0,QN31,40.746670992859,-73.95279073124
DC10665,7231.0,"TENDER YEAR CHILDCARE, INC.",GCC,INFANT TODDLER,3141 EAST TREMONT AVENUE,BRONX,10461,(718) 829-3067,0 YEARS - 2 YEARS,8,No,2073698.0,2053560001.0,210.0,13.0,18400.0,BX52,40.837838456075,-73.834700991129
DC43418,106563.0,"THE INSPIRED COMMUNITY PROJECT, INC.",GCC,PRESCHOOL,3681 BRUCKNER BOULEVARD,BRONX,10461,(212) 904-0773,2 YEARS - 5 YEARS,40,No,2047464.0,2042390025.0,210.0,13.0,30000.0,BX10,40.85241858338,-73.827283273291
DC169,4348.0,BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER INC.,GCC,PRESCHOOL,133 KINGSBOROUGH  1ST WALK,BROOKLYN,11233,(718) 453-0828,2 YEARS - 5 YEARS,18,No,3324601.0,3013440001.0,308.0,41.0,30700.0,BK61,40.675359457704,-73.927198170354
DC42145,106112.0,NURTURY 58 INC.,GCC,PRESCHOOL,5816 13 AVENUE,BROOKLYN,11219,(718) 724-3523,2 YEARS - 5 YEARS,40,No,3140724.0,3057040045.0,312.0,44.0,19200.0,BK88,40.62983567751,-73.997521374899
DC37552,104682.0,HAPPY LITTLE BEAR DAY CARE LLC,GCC,PRESCHOOL,94-25 57 AVENUE,QUEENS,11373,(929) 296-0087,2 YEARS - 5 YEARS,49,No,4047077.0,4019020010.0,404.0,25.0,68300.0,QN29,40.736310743193,-73.86699675696
DC25653,55817.0,"LITTLE MUNCHKINS PLAYGROUP 56, INC.",GCC,INFANT TODDLER,1460 56TH STREET,BROOKLYN,11219,(718) 437-7261,0 YEARS - 2 YEARS,71,No,3140136.0,3056920026.0,312.0,44.0,24000.0,BK88,40.628992824929,-73.992726336278
DC1187,7006.0,82ND STREET ACADEMICS,GCC,PRESCHOOL,81-10 35 AVENUE,QUEENS,11372,(718) 457-0429,2 YEARS - 5 YEARS,157,No,4029684.0,4012810001.0,403.0,25.0,28300.0,QN28,40.751695801742,-73.885405692351
DC1619,5826.0,"HOSTOS COMMUNITY COLLEGE CHILDREN'S CENTER, INC.",GCC,PRESCHOOL,475 GRAND CONCOURSE,BRONX,10451,(718) 518-4176,2 YEARS - 5 YEARS,55,No,2001038.0,2023460029.0,201.0,17.0,6300.0,BX63,40.817947347351,-73.927597966769
DC35096,104175.0,WEILL CORNELL CHILDREN'S CENTER AT EAST 62ND,GCC,INFANT TODDLER,315 EAST  62  STREET,MANHATTAN,10065,(646) 582-2966,0 YEARS - 2 YEARS,18,Yes,1044361.0,1014370007.0,108.0,5.0,11000.0,MN31,40.762270287533,-73.962450404385
DC44863,,TALMUD TORAH,SBCC,PRESCHOOL,4109 16 AVENUE,BROOKLYN,11204,(718) 434-7300,3 YEARS - 5 YEARS,NO DATA,No,3126466.0,3053810006.0,312.0,39.0,47800.0,BK88,40.635277044892,-73.981073715826
DC841,6367.0,TENDER YEARS CHILDCARE INC.,GCC,PRESCHOOL,3141 EAST TREMONT AVENUE,BRONX,10461,(718) 829-3067,2 YEARS - 5 YEARS,22,No,2073698.0,2053560001.0,210.0,13.0,18400.0,BX52,40.837838456075,-73.834700991129
DC41797,106740.0,BOOK SMART EARLY LEARNING CHILD CARE CORP.,GCC,PRESCHOOL,134-12 LINDEN BOULEVARD,QUEENS,11420,(516) 589-5794,2 YEARS - 5 YEARS,15,No,4251893.0,4116600011.0,410.0,28.0,17400.0,QN55,40.682379594221,-73.807667926085
DC349,4476.0,"THE NEW LIFE CHILD DEVELOPMENT CENTER, INC",GCC,PRESCHOOL,295 WOODBINE STREET,BROOKLYN,11237,(718) 821-3432,2 YEARS - 5 YEARS,105,Yes,3076869.0,3033620055.0,304.0,37.0,43500.0,BK77,40.696404688497,-73.912941172384
DC43644,106727.0,"THE LEARNING EXPERIENCE - SI, ST. GEORGE",GCC,PRESCHOOL,35A BAY STREET,STATEN ISLAND,10301,(718) 981-4001,2 YEARS - 5 YEARS,24,No,5166155.0,5000017504.0,501.0,49.0,300.0,SI22,40.641492463258,-74.075733844245
DC44477,106639.0,KUEI LUCK EARLY CHILDHOOD CENTER LLC,GCC,INFANT TODDLER,132 WEST 112 STREET,MANHATTAN,10026,(718) 679-9919,0 YEARS - 2 YEARS,10,No,1087384.0,1018210055.0,110.0,9.0,21600.0,MN11,40.8001554817,-73.953240261076
DC1569,6675.0,BISHOP SEXTON HEAD START,GCC,PRESCHOOL,933 HERKIMER STREET,BROOKLYN,11233,(718) 778-0292,2 YEARS - 5 YEARS,97,No,3329595.0,3017040025.0,303.0,41.0,29900.0,BK61,40.678161537432,-73.922497426631
DC44249,106741.0,ALEPH ELC,GCC,PRESCHOOL,1419 DORCHESTER ROAD,BROOKLYN,11226,(646) 245-5004,2 YEARS - 5 YEARS,12,No,3118688.0,3051570035.0,314.0,40.0,52000.0,BK42,40.638964898018,-73.964689153126
DC38114,104903.0,"TLE AT QUEENS-LONG ISLAND CITY, LLC",GCC,PRESCHOOL,27-28 THOMSON AVENUE,QUEENS,11101,(718) 433-4007,2 YEARS - 5 YEARS,110,No,4000697.0,4000827501.0,402.0,26.0,1900.0,QN31,40.746188471565,-73.942029127028
DC26046,51758.0,SCO FAMILY OF SERVICES,GCC,INFANT TODDLER,411 THATFORD AVENUE,BROOKLYN,11212,(929) 234-6870,0 YEARS - 2 YEARS,20,No,3082389.0,3036040001.0,316.0,41.0,91800.0,BK81,40.660298257452,-73.907354945299
DC21490,8365.0,"DISCOVERY LANE, LLC",GCC,PRESCHOOL,27-17 27 STREET,QUEENS,11102,(347) 242-2315,2 YEARS - 5 YEARS,50,No,4006902.0,4005757501.0,401.0,22.0,7100.0,QN71,40.769414609405,-73.923286160363
DC33188,96197.0,PARSONS PRESCHOOL,GCC,PRESCHOOL,85-27 91 STREET,QUEENS,11421,(718) 464-5606,2 YEARS - 5 YEARS,162,Yes,4182252.0,4088750001.0,409.0,32.0,1400.0,QN53,40.695826597603,-73.854456000699
